question,source_file,rewrite_query,classify_intent,extract_metadata,context_retrieve,rerank,generate_answer,total_time
سازمان تأمین اجتماعی چه وظایفی دارد و چگونه اداره می‌شود؟,نسخه چاپی قانون تأمين اجتماعي.txt,0.536090612411499,0.9523763656616211,0.792125940322876,0.1771540641784668,5.6100850105285645,5.241546154022217,13.309378147125244
تعریف بیمه‌شده در قانون تأمین اجتماعی چیست و چه شرایطی باید داشته باشد؟,نسخه چاپی قانون تأمين اجتماعي.txt,0.6971390247344971,0.5554733276367188,0.9458012580871582,0.1799793243408203,5.869684457778931,2.842902183532715,11.09097957611084
حقوق و مزایای مستمری‌بگیران صندوق بیمه‌های اجتماعی کشاورزان چگونه پرداخت می‌شود؟,نسخه چاپی قانون تأمين اجتماعي.txt,0.7542753219604492,0.5094060897827148,0.9123351573944092,0.20477676391601562,6.321373701095581,3.9541707038879395,12.65633773803711
چه مدارکی برای ثبت اسناد و املاک باید به اداره ثبت ارائه شود؟,نسخه چاپی قانون ثبت اسناد و املاك.txt,0.637284517288208,1.1120824813842773,0.8150923252105713,0.1722393035888672,7.16942286491394,2.62929630279541,12.535417795181274
چه مراحلی برای رسیدگی به اختلافات در امور ثبت املاک وجود دارد؟,نسخه چاپی قانون ثبت اسناد و املاك.txt,1.0918054580688477,0.5641474723815918,0.7804083824157715,0.17957520484924316,5.042252779006958,3.1327292919158936,10.790918588638306
چه کسانی مجاز به مراجعه به دفاتر املاک هستند و این مجوز چگونه تعیین می‌شود؟,نسخه چاپی قانون ثبت اسناد و املاك.txt,0.6445839405059814,0.5293664932250977,0.9112606048583984,0.1873166561126709,6.37767767906189,2.43743896484375,11.087644338607788
موجر چه شرایطی برای تخلیه عین مستأجره دارد؟,نسخه چاپی قانون روابط موجر و مستأجر_page-0001.txt,1.001690149307251,0.5753049850463867,1.2263789176940918,0.1585688591003418,6.026749610900879,3.090580940246582,12.079273462295532
آیا مستأجر می‌تواند سرقفلی را به دیگری واگذار کند و چه شرایطی برای این کار وجود دارد؟,نسخه چاپی قانون روابط موجر و مستأجر_page-0001.txt,0.8049120903015137,0.6319553852081299,0.9134130477905273,0.17429304122924805,6.4650349617004395,4.528566122055054,13.518174648284912
در صورت عدم پرداخت مال‌الاجاره، موجر چه اقداماتی می‌تواند انجام دهد؟,نسخه چاپی قانون روابط موجر و مستأجر_page-0001.txt,0.7659778594970703,0.5464127063751221,1.0321359634399414,0.15826964378356934,5.0067596435546875,3.5614585876464844,11.071014404296875
انواع چک‌ها طبق ماده ۱ قانون صدور چک چه مواردی را شامل می‌شود؟,نسخه چاپی قانون صدور چك_page-0001.txt,1.1800451278686523,1.146085262298584,1.3541920185089111,0.17226147651672363,5.638392925262451,2.613320827484131,12.104297637939453
چه شرایطی برای صادرکننده چک در ماده ۳ قانون صدور چک تعیین شده است؟,نسخه چاپی قانون صدور چك_page-0001.txt,0.6348710060119629,0.661323070526123,0.8328778743743896,0.1339559555053711,2.315412759780884,2.427410364151001,7.0058510303497314
